other_health_impacts,other_socio_economical_impacts,other_environmental_impacts,slug
"The main effect of inhaling xylene vapor is depression of the central nervous system, with symptoms such as headache, dizziness, nausea and vomiting, which can occur with exposure up to air levels of about 100ppm. Long term exposure can lead to depression, insomnia, agitation, extreme tiredness, insomnia, agitation, exposure can lead to depression, insomnia, agitation, extreme tiredness, extreme tiredness, tremors, impaired concentration and short-term memory.  At very high levels of exposure. Xylene inhaled by a woman can reach a developing fetus and can contaminate her breast milk. ",,,controversy-over-planned-paraxylene-px-plant-expansion-in-pengzhou-sichuan-china
,,,chongquing-soybean-growing-and-manufacturing-in-bahia-brazil
"children drown in mine´s pond, respiratory diseases ","low wages and precarious jobs, youth unemployment, increasing poverty in the villages impacted by the exploitation, potential displacement of Koudiadiène ","loss of forest species, no rehabilitation of the extraction holes by the company ",khoudiadienne-sephos-senegal
,,,biopalm-energy-oil-palm-plantation-and-bagyeli-indigenous-community
,,,nitta-gelatin-india-ltd-ngil-india
"Miscarriages, allergies",,,bt-kemi-teckomatorp-skane-sweden
,Rights of indigenous peoples. Way of life of the indigenous community at risk.,,guarani-people-against-tenda-construction-company-sao-paulo-brazil
,,"El proyecto amenaza a glaciares rocosos de donde sale el agua más directamente._x000D_
Implica también aumento de la saturación del aire en Ventanas, por aumento del refinamiento de cobre y, por ende, aumento de las enfermedades y concentración de metales pesados en la sangre de los habitantes.",expansion-de-andina-244-chile
Impact on respiratory system due to coal dust,The environmental conflict provokes the conflicts between different ethnic groups.,,death-of-inner-mongolian-herder-run-over-by-coal-truck-driver-led-to-conflicts-in-the-region-china
,,,tiradero-al-cielo-abierto-bicentenario-de-la-independencia-de-mexico-a-cargo-de-la-empresa-tersa-del-golfo
,,,tourism-development-on-garifuna-lands-near-trujillo-honduras
,,,eastern-economic-corridor
,,,explotacion-petrolera-en-el-municipio-de-acacias-meta
,,less medicinal herbs,stora-enso-plantations-china
Exposure to pollution from coal mining and burning,"Potential decline in tourism along the Kok River [1].
Internally displaced people (IDPs) will be unable to return home [4].",,mai-khot-mong-kong-coal-power-station-cancelled-over-protests-shan-state-myanmar
"Exposure to heavy metals, related diseases",,,philex-padcal-mining-disaster-benguet-philippines
Leucemia ,,,nuclear-power-plant-in-sosnovy-bor-leningrad-oblast-russia
,,,hollongi-greenfield-airport-india
,Impacto en las economías regionales (producción agropecuaria y turismo). ,Contaminación por radioactividad. Pasivos ambientales no remediados (dejados por la anterior explotación del área). ,mina-de-uranio-don-otto-salta-argentina
,Villagers' collection activities became illegal and therefore they were considered forest thieves,,conservation-in-kanchanaburi-thailand
,,,cementera-en-los-haitises-republica-dominicana
"Neurotoxin exposure, blindness, skin disease.",,,historic-fracking-ban-passed-in-denton
,,,wastepickers-lose-access-to-recyclable-waste-due-to-closure-of-a-landfill-panama
,,,ganadera-bocas-sa-in-naso-indigenous-territory-panama
,costs associated with damage from earthquakes,increased seismic activity; earthquakes,earthquakes-conflict-linked-to-fracking-nuevo-leon-mexico
,,,the-guahory-crisis
Illnesses caused by pollutants emitted by aircraft,Violation of Free Prior and Informed Consent right of Indigenous Peoples,Reduction in numbers of many wildlife species in area around airport,kilimanjaro-international-airport
,,,simhadri-thermal-power-plant-andhra-pradesh-india
Nausea and vomiting ,,,air-pollution-from-the-brick-ctofary-ciglana-spremo-serbia
,,,gold-course-and-resort-in-agricultural-land-in-tiracol-goa
,,,exploration-of-oil-in-block-10bb-and-block-13t-turkana-kenya
,,,valec-brazil
,,,about-180-roma-evicted-from-their-camp-due-to-the-planned-construction-of-buildings-in-the-site-saint-priest-lyon-france
,,,hercules
,The telescope is seen as a legacy of colonialism,,hawaiians-protest-stopped-large-telescope-symbolizing-western-colonisation-on-the-mauna-kea-mountain-usa
,,,waste-incineration-in-curitiba-parana-brazil
,,Destruction of dunes,wind-farms-in-the-sustainable-development-reserve-of-ponta-do-tubarao-brasil
Two sailors of the Irenes Serenade's crew died during the explosion [9],,"""This tanker caught fire while refueling at the port of Pylos and sank. Some spilled crude oil and ship fuel was salvaged on the sea surface, but some drifted ashore and had to be cleaned by hundreds of workers onshore and in small boats"" [11]. ",irenes-serenade-oil-tanker-explosion-in-navarino-bay-greece
,Lack of water in province of La Pampa,,conflicto-interprovincial-por-cuerpo-de-agua-rio-atuel
"disease, accident and death potential from increased flooding and ocean surges",increased inequality,,eko-atlantic-city-lagos-nigeria
,,,lead-contamination-in-santo-amaro-bahia-brazil
"Cáncer, dolores en las articulaciones y huesos, tos crónica, dificultades respiratorias, irritabilidad, neurosis, estrés, alergias, conjuntivitis, pérdida de memoria, cansancio, fatiga, anemia, hidrocefalia, espina bífida y mal de Chiari",Un gran porcentaje del ingreso económico de estos afectados es destinado a tratamientos en salud causado por la contaminación polimetálica. ,,contaminacion-plomo-arica
,Unfair treatment of migrant labour,,chevron-operations-meet-with-protests-australia
Exposure to pollution from plants increase risks of respiratory and cardiovascular diseases,,,septa-builds-natural-gas-plant-in-nicetown-pennsylvania
,,,lgv-bordeaux-spain-northern-basque-country-france
,,,pcb-contamination-in-warren-county-usa
,"Women felt threatened, the group Veracruz Mothers became very active",Risk from nuclear contamination,laguna-verde-mexico
,,,nagaragawa-dam
,"Destruccion del pueblo entero de Tabaco
Los impactos de la extracción de carbón en la Guajira han llevado a que se deterioren los significados de las relaciones de las mujeres con la naturaleza, pues se intensifican situaciones de poder jerárquicas que perpetúan el machismo y experiencias como la discriminación, la criminalización y la estigmatización, situaciones que han vivido distintas integrantes de Fuerza de Mujeres Wayuu.
La presencia de la extracción de minería a gran escala ha generado que haya violencia económica contra las mujeres, ya que hay feminización del desempleo, desigualdad salarial. De la misma manera las mujeres se han visto afectadas por la dificultad en acceso a la salud, alimentación y educación. 
Sumado a todo lo anterior, los cambios y deterioros del ambiente producidos por la minería han implicado que las mujeres que se dedicaban a la agricultura han tenido que cambiar sus labores o luchar mucho más para acceder a bienes como el agua en una calidad y cantidad aceptable.",,el-cerrejon-mine-colombia
,,,bhushan-power-and-steel-limited-jharkhand-india
,,,pt-ica-land-conflict-on-sumatra-indonesia
,,,new-bwindi-impenetrable-national-park-uganda
,,,hinkley-groundwater-contamination
,,,taraira-vaupes-colombia
,,,conflicto-socioambiental-humedal-la-isla-bogota-colombia
,,Damage to aquatic biodiversity and to fisheries,kochi-paper-pulp-dispute-japan
Illnesses caused by pollutants emitted by aircraft,,,mieu-mon-military-airport
,,,closure-and-modernisation-of-old-nickel-and-copper-smelter-monchegorsk-kola-peninsula-russia
,,,water-and-sanitation-services-privatization-in-metropolitan-manila-philippines
,,,flower-market-square-redevelopment-plan-zagreb-croatia
Respiratory problems caused by fire haze,,,korindos-oil-palm-operations-in-gane-south-halmahera-north-maluku-indonesia
,,"In addition to the relocation of Vreoci, MB Kolubara conducted re-routing of river Kolubara. It is also planned re-routing of other three rivers Pestan, Lukavica and Vranicina. The last re-routing of Kolubara River started in 2013. In floods in Serbia in May 2014, the Kolubara river submerged the village Vreoci and the newly open mine pit, which reduced the coal production for one third. This also resulted in the river Kolubara being returned back to its previous river bed.",relocation-of-the-vreoci-village-kolubara-coal-basin
"lung diseases,_x000D_
coughs and breathing problems from dust containing heavy metals and_x000D_
cobalt particles from the mines. _x000D_
 serious diseases_x000D_
and breathing problems, including asthma, impaired lung function and_x000D_
pneumonia.",,,43-miners-died-in-kamoto-mine
,,,tansim
,,,establishment-of-pt-bnm-palm-oil-plantation-in-jelai-hulu-ketapang-district
"Afectación a los ojos y pulmones de la población local, toma de agua turbia contaminada por el dique.",,"Las miles de toneladas de cargas con contenidos de sulfuros y óxidos que tienen alto contenido de cuarzo, arcilla, pirita, escalerita, galena, calcopirita y otros elementos que en contacto con el agua generan oxidación lo cual se conoce como “copajira” que ha afectado  la calidad de la tierra de la zona. Riesgo de rotura de dique de relaves. ",dique-de-colas-de-san-miguel
,,,proposed-windfarm-on-the-isle-of-lewis-scotland
,,,chota-nagpur-conflict-jharkhand-india
,,,potassium-mining-sinkholes-in-berezniki-russia
,,,contaminacion-por-relaves-mineros-en-el-rio-pilcomayo-bolivia
,,Depletion of shrimp population,pescadores-y-camaroneros-del-rio-ocona-se-oponen-a-proyecto-hidroelectrico-peru
"Diseases provoked by polluted water, health potential health risks caused by airborne pollutants. _x000D_
Violent intimidation of families living on ancestral land and activists",72 households have been moved from the KwaQubuka area ,"mine's blasts, sick cattle from polluted water",tendele-coal-mine-somkhele-kwazulu-natal
,,,cerro-la-jacoba-colombia
,,,gyeongju-nuclear-waste-site-south-korea
,,,textile-industries-in-tehuacan-mexico-have-contaminated-underground-water-used-to-be-bottled-for-sales
,"Looting, robbing, vandalizing important cultural sites",,conflict-over-bears-ears-national-monument
,,,proyecto-inmibiliario-lomas-de-angelopolis-de-grupo-proyecta-puebla-mexico
,,,sifca-rubber-and-oil-palm-plantations-liberia
,,,golfo-de-morrosquillo
,,,gas-and-oil-extraction-kamchatka-eastern-siberia-russia
,,,redd-pilot-lacandon-jungle-chiapas-mexico
,,,prirazlomnoye-field
 Lead has previously been related to IQ deficits and nervous problems.,,Biodiversity contamination with hazardous substances ,projeto-cacapava-do-sul
"Potential respiratory diseases, rheumatism, migraine.",,,hydro-power-plants-on-the-river-lim-serbia
,,,phosphate-mining-project-in-lavras-do-sul-rio-grande-do-sul-brazil
,,,lanco-babandh-power-station-dhenkanal-orissa-india
Long exposure to ultra-fine particles has health impacts reducing life expectancy. ,,,air-pollution-and-nuisance-in-the-area-of-schiphol-airport-and-amsterdam
,,,mineria-en-urrao-colombia
,,"Note that here the loss of biodiversity refers to the loss of birds, etc.",infravest-windenergy-taiwan
,,,surf-park-saint-pere-en-retz
"The inhalation of the dust from the mining of the shale, by the local residents of the community, can lead to respiratory problems. The main/major concern from residents around Norlite are the long-term, detrimental health impacts of the inhalation and consumption of perfluorinated chemicals from the AFFF. ",,,norlite-plant-burning-pfoas-for-department-of-defense
,,,proyecto-hidroelectrico-la-miel-ii
,Violación del derecho al acceso al agua,,conflicto-internacional-rio-lauca-bolivia-chile
,"Large subsidies because it is ""bioenergy""",Imports of wood also from faraway territorries,eon-centrale-bois-energie-de-gardanne
,,,denied-access-to-water-for-roma-in-prasnik-a-town-rich-in-water-and-spa-resorts-slovakia
,,,hukaung-valley-hotspot-kachin-state-myanmar
,Obs,,advance-agro-plantations-thailand
,,,logging-blockade-aalistunturi-kolari-arctic-finland
"On 2nd February 2020 an ironworker working at the Amazon air hub project was killed in a workplace accident. The 46-year old man, Loren Shoemake, died from blunt force trauma.",,Dust and damage to buildings from blasting works,amazon-prime-cargo-hub-at-cvg-airport
,,,midcat-gas-pipeline
,unjust revenue distribution between locals and operating company,,sinar-mas-app-groups-forestry-pulp-paper-integrated-project-in-yunnan
,,,basurero-las-matas-en-minatitlan-mexico
,"There is a serious risk to the sustainability of Parana’s agriculture if water sources and soil are contaminated, which would cause a huge blow to the state’s economy. Parana ranks in the top five producing states in Brazil for soybeans, corn, sugarcane, cattle, pork and chicken and also produces wheat, rice, cotton and beans._x000D_
Explosions in the sub-soil - otherwise known as seismic shocks - caused by the fracturing of the rock, could cause damage to the structure and foundations of buildings and could lead to a reduction in house prices. ",,fracking-in-the-parana-basin-brazil
,,,ava-flegt
Exposure to heavy metals,,Siltation of closeby rivers and coastal areas; related declines in fish stock,marcventures-mining-operations-in-cantilan-surigao-del-sur-philippines
,,,biometano-a-latina-scalo
,,,dhopave-thermal-power-project-maharastra-india
Respiratory diseases.,,,vital-ad-polluting-vrbas-serbia
 Coughing and other Respiratory problems,,,chekaa
,,,waste-dumping-and-burning-in-adana-turkey
"Respiratory infections (ARI), diarrhoea, skin diseases and eye infections","Dwelleres have accussed the company of alleged brutality and serious human rights abuses against local ""galamsey"" (small illegal miners) suspects. The word ""galamsay"" is said to have been coined from the English ""gather and sell"". ",,obuasi-gold-mines-in-ashanti-region-ghana
"Exposure to toxic cyanide and used for gold mining.
Itchy skin due to exposure to polluted water.
Violent clashes between security forces and villagers .
Impacts on pregnant women are a concern for locals. Several babies faced health issues and some have died.",,,mon-len-gold-mine-killings-shan-state-myanmar
,,"Nuclear/ radiation pollution
Increased salinity of seawater",uranium-extraction-plans-in-saudi-arabia
,,,concentrated-animal-feeding-operations-and-minority-residents-in-kenansville-north-carolina-usa
,,,thjorsarver-iceland
,,,ntacua-tree-plantations-in-zambezia-mozambique
,,,yamuna-express-way-uttar-pradesh-india
,,,yozgat-uranium-mine-project-turkey
,,,cheyyur-ultra-mega-power-plant-tamil-nadu-india
Illnesses caused by pollutants emitted by aircraft,"Loss of access to fishing grounds, impacting on livelihoods",,sicogon-island-tourism-estate-philippines
,,,four-communities-imiringi-elebeleotuasega-and-oruma-stage-peaceful-protest-against-shell-
,,,sagay-massacre-of-sugar-farmers-philippines
,,,villaggio-turistico-di-forti-porto-tolle
,,,sosucam-and-samdiaa-sugar-operation-in-haute-sanaga-cameroon
,,,rio-tintos-iron-mine-and-destruction-of-sacred-aboriginal-sites-australia
,,,garbage-mountain-saida
"Asbestosis, mesotelioma. Specific imapacts on women: Las mujeres no trabajadoras en la empresa URALITA igual estuvieron expuestas vía sus maridos trabajadores, algunas de ellas han muerto por lavar la ropa contaminada de sus maridos _x001B_[12]",,,uralita-in-cerdanyola-catalonia-asbestos-spain
,,,high-speed-two-railway-united-kingdom
,,Above stated impacts refer only to the Upper Kengtawng dam,upper-kengtawng-dam-shan-state-myanmar
,,,fungicides-in-banana-plantations-in-davao
"Asthma _x000D_
Cancer",,,the-houston-hub-carbon-capture-and-storage-facility-texas-usa
,,Loss of endangered species (black necked crane),violence-against-buddhist-monks-opposing-dams-in-tawang-arunachal-pradesh-india
,,,pt-inti-indorayon-utama-eucalyptus-plantation-conflict-sumatra-indonesia
,,,alto-chicama-peru
"Exposure to toxic compounds, especially through fish and shellfish consumption. ",,Contaminated fish/shellfish harvested for subsistence purposes/recreation. ,portland-harbor-superfund-site
,,,huaneng-haimen-coal-fired-power-station
,"Stigmatization, social insecurity",Decreased soil nutrition,palm-oil-companies-grab-orang-rimba-land
,Impact on the tourist sector (potential). Decrease of fishing (potential). ,,oil-and-gas-prospections-in-the-balearic-sea-spain
Excessive nitrogen levels,,,nitrogen-crisis-and-farmers-protests
Kidney failure and many other illnesses because of water pollution. ,,,rio-atoyac-tlaxcala-puebla-an-environmental-hell-mexico
"The health hazards of nickel exploitation and production to local populations include problems with the lungs and stomach, nausea and diarrhoea.",,,nickel-ore-exploration-mining-trstenik-serbia
,,,deva-muncel-gold-polymetallic-ores-exploitation
,Desecration of archeological remains,,tribes-halt-copper-mine-on-ancestral-lands-santa-rita-mountains-arizona-usa
enfermedad por consumo de agua contaminada por arsenico,,Contaminacipn del agua por arsenico,cocula-guerrero-mexico
,,,afectadas-por-el-nemagon-costa-rica
,,Risk of radiation,brokdorf-germany
,,,chiquita-brands-colombia
,"Rise in economic inequality, Caste conflict ",,delhi-mumbai-industrial-corridor
The explosions and fires killed 29 people,,,atlantic-empress-oil-tanker-accident-1979
"respiratory diseases, brain damage, lung cancer, heart diseases, skin irritations, fatigue, headache, and nausea [1]",,,holcim-cement-plant-in-puttalam
Illnesses caused by pollutants emitted by aircraft and ships,,,deep-sea-port-and-airport-on-kalagote-island
"Continuous exposure to trace metal, radioactive waste and coal burning residues (ingestion, inhalation, dermal contact)",,,bayan-obo-world-biggest-rare-earths-mine-baogang-group-baotou-inner-mongolia-china
,,,pakri-barwadih-coal-mining-in-jharkhand-india
,,,gmr-kamalanga-energy-limited-thermal-plant-india
,,The denuded hill poses great risk of landslides during monsoon,attempted-conversion-of-reserve-forests-for-housing-of-public-officials-coxs-bazar-district-bangladesh
,,,vele-colliery-mine-next-to-the-mapungubwe-national-park-in-limpopo-south-africa
,,,sabal-trail-pipeline
,,,coalmining-caribou-moberlylake-bc
,Falta de participación: negación a los vecinos de información ambiental (IIA). ,,metan-se-opone-a-proyecto-leon-argentina
Health problems caused by pollutants emitted by aircraft,,,ogun-cargo-airport
decrease in fertility rates,,,multinational-oil-companies-on-the-niger-delta-nigeria
,,,spires-natural-gas-pipeline-for-st-louis-mo-usa
,,,defence-of-magdalena-teititipac-against-gold-mining-mexico
,,,al-bassa-landfill-syria
,,,salal-hydro-power-project-jammu-kashmir-india
"Increased incidence of cancer among the population of Brescia is demonstrated by the reports of the National Health Institute, ISS (2011, 2014) [13].
In addition, scientific studies provided some evidence for associations between PCBs exposure and the higher risk of non-Hodgkin lymphoma (NHL) [14].","Economic damages for the loss of property value (land, houses).","After 2001, several analysis of the soil have been carried out by the regional agency for the protection of the environment (ARPA). The studies proved the high PCB contamination of the area up to a maximum of 8.330 μg/kg (law limits 1-60 μg/kg). The dioxins pollution up to 3.322 ngTEQ/kg (law limits 10 ngTEQ/kg)  [11]. Other substances highly contaminating lands, groundwater and surface water: mercury, carbon tetrachloride and DDT [12].",caffaro-contamination-in-brescia
"cardio-vascular, muscular-sceletal problems; vision loss, memory loss",,,karachaganak
,,,nandi-forest-multipurpose-dam-on-yalas-river-kenya
exposure to toxic herbicides,,,world-tristar-entertainment-land-grab-in-the-koh-sla-region-kampot-cambodia
,,,mahmoodkot-power-station-pakistan
,,,land-grabbing-sudan
Skin inflamations of people swimming in waters close or at a distance of several kilometers to aquaculture units,Loss of marine space use and natural resource extraction of marine products by traditional communities,Marine water contamination,aquaculture-advancement
,,,angry-protest-against-proposed-petroleum-refinery-in-ratnagiri-district-maharashtra
"Chemicals could be associated with serious health issues such as muscular dysfunction, inflammation, birth defects, nervous system disorders and even the development of various cancers.",Specific impacts on children. Rural-to-urban migration rates dramatically increased in South Vietnam,"Erosion caused by loss of tree cover and loss of seedling forest stock meant that reforestation was difficult (or impossible) in many areas. 
*Impact in the whole foodchain through animals and fish which feed in the contaminated areas.",exposure-to-agent-orange
,,,waste-incinerator-in-resnik-zagreb-croatia
Risk of dioxine,,,waste-tire-burnings-for-energy-production-in-cement-plant-cemex-ponce
Cancer,,,huichapan-waste-incineration-in-cemex-factory-hidalgo
,,,red-frog-beach-tourist-complex-panama
,,,canariaco-norte-san-juan-de-kanaris-peru
,,,savepulangiriver-philippines
,,Salinization of soils and surface waters with brine of bromine and iodine salts coming from deeper soil layers if disturbed.,copper-nickel-mining-in-voronezh-russia
,,,chronic-inc-philippines-and-canada-waste-dispute-manilla-philippines
,,,groundwater-lifting-by-industries-leading-to-water-scarcity-in-5-villages
Cancer,,,imider-silver-mine-morocco
,,,small-scale-land-grabbing-by-political-and-economical-elites-in-greater-gaborone-botswana
,,,the-city-of-buenos-aires-installs-anti-poor-waste-containers-and-repress-wastepickers-demonstration-and-rights
,,,ashaninka-rioamonia-saweto-againstlogging-acre-brazil
,,,protest-against-chinese-companies-to-build-elevated-railways-hinder-animal-migrationnairobi-kenya
,,,pak-bara-deep-sea-port-project-thailand
,,,hidroelectricas-de-atzala-coyolapa-puebla-mexico
,,,rajpura-thermal-power-project-punjab-india
,,,hydro-power-plant-at-the-river-komarnica-montenegro
,,,uranium-mining-pollution-and-health-threats-gabon
"""The main effect of inhaling xylene vapor is depression of the central nervous system, with symptoms such as headache, dizziness, nausea and vomiting, which can occur with exposure up to air levels of about 100 ppm. [...] Long term exposure can lead to depression, insomnia, agitation, extreme tiredness, tremors, impaired concentration and short-term memory. [...] At very high levels of exposure, xylene can injure the liver and kidneys, with the damage being irreversible. [...] Xylene inhaled by a woman can reach a developing fetus and can contaminate her breast milk"" (Kandyala et al. 2010).",,"The Xiamen PX plant which was relocated to Zhangzhou, Fujianm in January 2009 as a result of the Haicang protests exploded after hydrogen leaked from a pipeline's welding seam during a pressure test at the plant. A Xingzai village resident, who lives less than 1 kilometre from the plant, said the concussive force of the explosion shattered windows and cracked walls and ceilings in her newly built home. (Li Jing, South China Morning Post, 30 July 2013) ",controversy-over-planned-paraxylene-px-plant-in-xiamen-fujian-china
,,,prestige-oil-spill-in-galician-coast-spain
,,,waste-worries-marginalized-informal-recycling-and-the-start-of-waste-to-energy-in-lahore-punjab-pakistan
,losses for the rural comunity and his economy,"induce earthquakes, affect Garoña Nuclear Power Plant",burgos-bnk-petroleum
"Cancer, asthma, bloody-noses",,,suncor-refinery-commerce-city-co-usa
,,,casablanca-water-privatization-morocco
,"Violation of Free, Prior and Informed Consent (FPIC) right",Coca farmers illegally deforesting and producing on indigenous lands,cordillera-azul-national-park-canp-peru
"Cancer, Genetic Mutation",brings a large dept to a country on the brink of bankrupcy,,energy-anwser-incinerator-poisoning-puerto-ricos-main-agricultural-region
abortion during pregnancy,abortion during pregnancy,,c-excessive-blood-lead-of-workers-of-ricun-battery-technology-in-changzhou-jiangsu-china
Health experts warn that without a roof on the ring road - life expectancy for the 150.000 affected people will continue to drop from it's already lower-than-average levels.,,,ringland-vs-bam-belgium
,,,deforestacion-de-manglar-san-blas-nayarit-mexico
"Headaches, nausea, asthma,  dizziness, congestion, sore throats, and difficulty breathing",,,shell-petrochemical-plant-and-pollution-in-norco-us
,,,ahell-pollutes-environment-and-harrasses-local-people-with-personnel
,,,roma-discrimination-of-the-khashtalo-forest-romas
,Attack from January 2018 legitimated increased military presence ,,senegal
,,,tengiz-oilfield-and-processing-plant
"Cancer/lead/asthma/low-weight births/headaches
In 1990s: Chester's infant mortality rate was the highest in the state; Chester's lung cancer mortality rate was 60% higher than the county; and 60% of children in Chester had blood-lead levels over the maximum recommended. ",,,clustering-of-waste-facilities-in-chester-usa
,,,el-barzon-vs-magsilver-cascabel-chihuahua-mexico
,,,gorakhpur-nuclear-power-plant-india
,,,uranium-mining-proposed-within-the-amrabad-tiger-reserve-telangana
,,,anti-uranium-mining-protest-kyrgyzstan
,,,ninus-y-maria-ines-mendoza-argentina
Illnesses caused by pollutants emitted by aircraft,,,guadalajara-airport
"Risques d'exposition à l'uranium et au thorium radioactifs, contenus dans le zircon exploité",,,diogo-zircon-mining-niayes-senegal
,,,oil-and-gas-exploration-in-block-l6-lamu-and-tana-delta-districts-kenya
,,,buyukcekmece-albatros-parkinin-imara-acilmasi
,,radiation,mineria-de-uranio-en-las-canas-la-rioja
,,,high-speed-train-basque-country-spain
"Cancer, asthma, respiratory problems",,,united-states-oil-refinery-philadelphia-energy-solutions-releases-high-levels-of-benzene-and-other-carcinogenic-pollutants-in-south-philadelphia
Lung diseases due to dust and explosions,Cracks in the houses due to explosions,,resettlements-for-mining-projects-in-tete-province
,,,resisting-free-trade-agreements-to-protect-local-seeds-thailand
Lead poisoning,negatively affected children's education and the local economy,,lead-poisoning-near-huaqiang-battery-factory-china
,,Affectation of protected natural area,papagayos-mendoza-argentina
,"Desplazamiento de población, problemáticas sociales derivadas de la pérdida de su patrimonio biocultural forjado de la existencia del arrecife.",Erosión de las costas por el oleaje del mar y el oleaje causado por el paso de grandes embarcaciones que son minimizadas por la existencia del arrecife.,dragado-de-los-corales-gamines-por-el-proyecto-canal-alterno-en-la-bahia-de-cartagena
,,,linginte-mining-and-the-ende-gelande-movement
,,,krakow-waste-incinerator
,,,dams-on-the-narmada-river-india
,,,parque-nacional-natural-tayrona-colombia
“Se detectaron altas densidades de bacterias coliformes termotolerantes indicando que el consumo de vegetales representaba un riesgo potencial para la salud. Los valores encontrados en este estudio rebasaron los estipulados por las normas: 4 coliformes no termotolerantes en aguas de riego”. [12],"Derecho a un ambiente sano, saneamiento del agua.","Pérdida de los humedales, canales secos y agrietados, provocando socavones, calentamiento del medio ambiente.",contaminacion-de-los-canales-de-la-zona-lacustre
Air pollution exposes residents to respiratory problems,,,yeongheung-coal-plant-south-korea
Asthma and pulmonary diseases caused by sulphur oxides,Strong impact on children.,,yokkaichi-asthma-japan
"Short-term: irritation of eyes and respiratory tract, headaches, dizziness, visual disorders memory problems_x000D_
Long-term: naseau, fatigue, loss of coordination, dizziness, damage to liver, kidneys, central nervous system, cancer",decline in land value due to logging and pollution,,hamlet-and-enviva
,Increasing debt,,kyaukpyu-special-economic-zone
,,,vitroplant-resistance-against-palmoil
,,,oil-palm-plantation
,"Specific militarized security forces linked to the companies named ""Milícias de Suape"" ","Specific impacts on mangroves (around 600 ha of mangroves have been destroyed), Specific impact on marine ecosystems due to pollution",complexo-industrial-portuario-de-suape-cips-pernambuco-brazil
,,,black-hills-land-theft
,,Increased bushmeat hunting. Threat to  Biosphere Reserves and UNESCO World Heritage Site. ,iron-ore-mining-on-mount-nimba
"Por las partículas: enfermedades respiratorias, riesgos cardiacos.
Por metales pesados: cáncer, problemas respiratorios, neurológicos, reproductivos y problemas de aprendizaje. 
Por compuestos organoclorados: cáncer, deficiencias del sistema inmunológico, artritis, asma, esterilidad, problemas del desarrollo fetal",,Alteración del paisaje por las chimeneas y humo,holcim-incineracion-y-desechos-solidos-el-salvador
,,,battle-for-sutjeska
Unknown health effects,"Violations include the lack of an adequate Free, Prior, Informed Consultation and Consent. Indigenous groups are concerned over the loss of livelihoods, culture and means of traditional subsistence. Also, there is a lack of recognition to the local claims (over health effects) and lack of recognition of indigenous knowledge. ",Deforestation includes loss of plant and animal species.,tikul-a-y-b
,,,sultanpur-dabas-village-landfall-site-delhi-india
"In this case, there is preventive activity from the Philippines campaign against coal dust, respiratory illnesses [4] ",,,coal-fired-power-plant-batangas-philippines
,,,la-poblacion-de-zautla-en-contra-mineria-de-china-mexico
,,"Ocean pollution.
Fisheries reduction",salango-comuna-against-pesquera-la-polar-ecuador
,,,kolaghat-thermal-power-plant-purba-medinipur-west-bengal-india
,,,wayanand-kerala
,,,saami-metsahallitus-forest-conflict-inari-finland
"While Sarnia at large suffers from exposure to airborne toxins, with higher rates of hospitalization than the rest of Ontario, the problems are compounded in Aamjiwnaang. The reserve is a sort of industrial sacrifice zone, continuously exposed to pollutants known to cause cancer, cardiovascular, respiratory, developmental and reproductive disorders – Aamjiwnaang has, for instance, a 39% rate of miscarriage and an anomalous birth ratio of two women for every man born (as opposed to national average of approximately 1:1). ",,The city has the highest level of particulates air pollution of any Canadian city,chemical-valley-sarnia-ontario-canada
,This was a labour conflict more than an environmental conflict,,zhanaozen-massacre-2011
,,,conflict-around-a-planned-solar-power-plant-at-luitre-dompierre-france
,,,san-sebastian-bachajon-chiapas-mexico
"Asbestos disease, lung cancer and pleural mesothelioma",,"In April 2007, the concentration of asbestos in the air was three times higher than allowed. Citizents of Vranjic were not informed.",asbestos-contamination-from-salonit-vranjic-croatia
,,,mining-and-murders-on-indigenous-land-in-san-teodoro-mindoro-oriental-philippines
Health issues related to polluted water and soil.,,,landfill-site-at-maidan-garhi-new-delhi-india
"Potential carcinogenic, respiratory, and cardiovascular diseases",,,banten-suralaya-coal-fired-power-complex-banten-indonesia
,,,vinto-fundidora-de-antimonio-y-estano-bolivia
"Breathing disturbances, water pollution. Also, increased antibiotic resistance as a more general consequence. ",,"Obnoxious smell, frequent leakages of toxic gases.  Impact on crop yield and food cycle. Production of crops in some areas has reduced to 80%. Milk yield decrease and is contaminated. River's fauna is no more.",patancheru-industrial-area-ap-india
,,,farmers-and-the-protected-area-in-pataxo-indigenous-territory-brazil
,,,zydus-rd-unit-in-gujarat-india
,,,fisherfolks-of-chilika-lake-odisha-india
"The EIA report of the Fast Track cautions for potential increase in health problems around Khokana area due to construction of interchange/toll booths, which will become a commercial and busy parking facility",,,kathmandu-terai-madhesh-fast-track-road-project-nepal
"gastroenteritis, severe diarrhea, salmonella, typhoid fever, pediatric cancer, stunting ...",,,gazas-water-supply-under-threat
,,,ambler-mining-project-northwest-arctic-alaska-us
,,Loss of endemic species,bauxite-mining-in-cockpit-country-jamaica
,,,glencore-prodeco-colombia
,,,titanium-mining-in-the-kwale-district-kenya
